category,price,product_identifier,title,description,brand,features,quality_score,enriched
Electronics,686.37,B1P4DZHDS9,NexGen Revolutionary Electronics Item,Premium electronics product with exceptional quality. Crystal-clear OLED display. Advanced Bluetooth 5.0.,NexGen,"[np.str_('Crystal-clear OLED display'), np.str_('Advanced Bluetooth 5.0'), np.str_('Lightning-fast charging'), np.str_('Intelligent voice assistant')]",1.0,True
Toys & Games,80.75,B1SE4QSNG7,PrimePick Best-in-Class Toys & Games Item,Premium toys & games product with exceptional quality. Premium-grade materials. Enhanced durability.,PrimePick,"[np.str_('Premium-grade materials'), np.str_('Enhanced durability'), np.str_('Exceptional value'), np.str_('Extended lifespan')]",1.0,True
Food & Beverage,42.02,BXTPQIDT5C,BestChoice Premium Food & Beverage Item,Premium food & beverage product with exceptional quality. Enhanced durability. Extended lifespan.,BestChoice,"[np.str_('Enhanced durability'), np.str_('Extended lifespan'), np.str_('Premium-grade materials'), np.str_('Intuitive design')]",1.0,True
Food & Beverage,33.42,B3F1ZMC8Q6,PrimePick Professional-Grade Food & Beverage Item,Premium food & beverage product with exceptional quality. Exceptional value. Enhanced durability.,PrimePick,"[np.str_('Exceptional value'), np.str_('Enhanced durability'), np.str_('Extended lifespan'), np.str_('Intuitive design')]",1.0,True
Toys & Games,27.52,B2NQRBTF0Y,QualityFirst Award-Winning Toys & Games Item,Premium toys & games product with exceptional quality. Premium-grade materials. Intuitive design.,QualityFirst,"[np.str_('Premium-grade materials'), np.str_('Intuitive design'), np.str_('Enhanced durability'), np.str_('Extended lifespan')]",1.0,True
Health & Beauty,77.66,B0OL6NCQ2G,TrustMark Award-Winning Health & Beauty Item,Premium health & beauty product with exceptional quality. Enhanced durability. Exceptional value.,TrustMark,"[np.str_('Enhanced durability'), np.str_('Exceptional value'), np.str_('Intuitive design'), np.str_('Premium-grade materials')]",1.0,True
Books,33.79,BELIUY7PF3,PrimePick Professional-Grade Books Item,Premium books product with exceptional quality. Premium-grade materials. Enhanced durability.,PrimePick,"[np.str_('Premium-grade materials'), np.str_('Enhanced durability'), np.str_('Extended lifespan'), np.str_('Intuitive design')]",1.0,True
Toys & Games,38.11,BZ13P24N6K,TrustMark Premium Toys & Games Item,Premium toys & games product with exceptional quality. Premium-grade materials. Extended lifespan.,TrustMark,"[np.str_('Premium-grade materials'), np.str_('Extended lifespan'), np.str_('Intuitive design'), np.str_('Exceptional value')]",1.0,True
Clothing,40.85,BY3H2A222X,TrendyThreads Eco-Conscious Clothing Item,Premium clothing product with exceptional quality. Rapid-dry technology. Easy-care machine washable.,TrendyThreads,"[np.str_('Rapid-dry technology'), np.str_('Easy-care machine washable'), np.str_('Advanced moisture-wicking fabric'), np.str_('Permanent wrinkle-free technology')]",1.0,True
Books,49.04,BZUQSUBFIE,ValueBrand Premium Books Item,Premium books product with exceptional quality. Extended lifespan. Enhanced durability.,ValueBrand,"[np.str_('Extended lifespan'), np.str_('Enhanced durability'), np.str_('Intuitive design'), np.str_('Premium-grade materials')]",1.0,True
Books,33.55,BY4UC1UWUT,PrimePick Industry-Leading Books Item,Premium books product with exceptional quality. Intuitive design. Extended lifespan.,PrimePick,"[np.str_('Intuitive design'), np.str_('Extended lifespan'), np.str_('Premium-grade materials'), np.str_('Exceptional value')]",1.0,True
Electronics,490.73,BUVBMP9HJO,SmartLife Premium Electronics Item,Premium electronics product with exceptional quality. Intelligent voice assistant. Lightning-fast charging.,SmartLife,"[np.str_('Intelligent voice assistant'), np.str_('Lightning-fast charging'), np.str_('Crystal-clear OLED display'), np.str_('Advanced Bluetooth 5.0')]",1.0,True
Health & Beauty,24.84,B43C4K7KPX,ValueBrand Best-in-Class Health & Beauty Item,Premium health & beauty product with exceptional quality. Intuitive design. Extended lifespan.,ValueBrand,"[np.str_('Intuitive design'), np.str_('Extended lifespan'), np.str_('Premium-grade materials'), np.str_('Enhanced durability')]",1.0,True
Clothing,160.02,BU9XOOP3LG,UrbanWear Performance Clothing Item,Premium clothing product with exceptional quality. Rapid-dry technology. Permanent wrinkle-free technology.,UrbanWear,"[np.str_('Rapid-dry technology'), np.str_('Permanent wrinkle-free technology'), np.str_('Advanced moisture-wicking fabric'), np.str_('4-way stretch comfort')]",1.0,True
Home & Garden,63.22,BA10ZQZF6S,PrimePick Premium Home & Garden Item,Premium home & garden product with exceptional quality. Enhanced durability. Intuitive design.,PrimePick,"[np.str_('Enhanced durability'), np.str_('Intuitive design'), np.str_('Extended lifespan'), np.str_('Premium-grade materials')]",1.0,True
Health & Beauty,58.14,BFRQFNIKYW,BestChoice Premium Health & Beauty Item,Premium health & beauty product with exceptional quality. Extended lifespan. Intuitive design.,BestChoice,"[np.str_('Extended lifespan'), np.str_('Intuitive design'), np.str_('Enhanced durability'), np.str_('Exceptional value')]",1.0,True
Sports & Outdoors,39.98,BNMEM8N6RZ,ValueBrand Premium Sports & Outdoors Item,Premium sports & outdoors product with exceptional quality. Intuitive design. Enhanced durability.,ValueBrand,"[np.str_('Intuitive design'), np.str_('Enhanced durability'), np.str_('Premium-grade materials'), np.str_('Exceptional value')]",1.0,True
Books,58.46,BJJ2JZ2Q0J,PrimePick Professional-Grade Books Item,Premium books product with exceptional quality. Enhanced durability. Exceptional value.,PrimePick,"[np.str_('Enhanced durability'), np.str_('Exceptional value'), np.str_('Extended lifespan'), np.str_('Premium-grade materials')]",1.0,True
Electronics,1358.77,BDEQZHZL3U,NexGen Cutting-Edge Electronics Item,Premium electronics product with exceptional quality. Industry-leading battery life. Intelligent voice assistant.,NexGen,"[np.str_('Industry-leading battery life'), np.str_('Intelligent voice assistant'), np.str_('Crystal-clear OLED display'), np.str_('Lightning-fast charging')]",1.0,True
Sports & Outdoors,259.14,BGA1RZXPLW,QualityFirst Industry-Leading Sports & Outdoors Item,Premium sports & outdoors product with exceptional quality. Premium-grade materials. Extended lifespan.,QualityFirst,"[np.str_('Premium-grade materials'), np.str_('Extended lifespan'), np.str_('Enhanced durability'), np.str_('Intuitive design')]",1.0,True
Clothing,135.22,BVWD1O2BGR,ClassicWear Premium Clothing Item,Premium clothing product with exceptional quality. Permanent wrinkle-free technology. 4-way stretch comfort.,ClassicWear,"[np.str_('Permanent wrinkle-free technology'), np.str_('4-way stretch comfort'), np.str_('Advanced moisture-wicking fabric'), np.str_('Rapid-dry technology')]",1.0,True
Clothing,41.74,BLYDGV2GK7,UrbanWear Designer Clothing Item,Premium clothing product with exceptional quality. Permanent wrinkle-free technology. Easy-care machine washable.,UrbanWear,"[np.str_('Permanent wrinkle-free technology'), np.str_('Easy-care machine washable'), np.str_('Rapid-dry technology'), np.str_('4-way stretch comfort')]",1.0,True
Health & Beauty,32.97,BUWVKAF8PR,PrimePick Professional-Grade Health & Beauty Item,Premium health & beauty product with exceptional quality. Extended lifespan. Exceptional value.,PrimePick,"[np.str_('Extended lifespan'), np.str_('Exceptional value'), np.str_('Intuitive design'), np.str_('Premium-grade materials')]",1.0,True
Books,14.14,B2JRYRP7FU,BestChoice Premium Books Item,Premium books product with exceptional quality. Premium-grade materials. Extended lifespan.,BestChoice,"[np.str_('Premium-grade materials'), np.str_('Extended lifespan'), np.str_('Enhanced durability'), np.str_('Intuitive design')]",1.0,True
Sports & Outdoors,91.09,BR8LTS4PKA,PrimePick Professional-Grade Sports & Outdoors Item,Premium sports & outdoors product with exceptional quality. Enhanced durability. Exceptional value.,PrimePick,"[np.str_('Enhanced durability'), np.str_('Exceptional value'), np.str_('Intuitive design'), np.str_('Premium-grade materials')]",1.0,True
Home & Garden,450.16,B3TFKTLDXY,TrustMark Best-in-Class Home & Garden Item,Premium home & garden product with exceptional quality. Enhanced durability. Extended lifespan.,TrustMark,"[np.str_('Enhanced durability'), np.str_('Extended lifespan'), np.str_('Exceptional value'), np.str_('Intuitive design')]",1.0,True
Electronics,1006.16,BK0071LDW6,TechPro AI-Powered Electronics Item,Premium electronics product with exceptional quality. Crystal-clear OLED display. Lightning-fast charging.,TechPro,"[np.str_('Crystal-clear OLED display'), np.str_('Lightning-fast charging'), np.str_('Advanced Bluetooth 5.0'), np.str_('Industry-leading battery life')]",1.0,True
Health & Beauty,10.69,BIFTTNL3Q3,BestChoice Award-Winning Health & Beauty Item,Premium health & beauty product with exceptional quality. Extended lifespan. Premium-grade materials.,BestChoice,"[np.str_('Extended lifespan'), np.str_('Premium-grade materials'), np.str_('Exceptional value'), np.str_('Enhanced durability')]",1.0,True
Health & Beauty,76.61,BLWKWS6J97,ValueBrand Professional-Grade Health & Beauty Item,Premium health & beauty product with exceptional quality. Extended lifespan. Exceptional value.,ValueBrand,"[np.str_('Extended lifespan'), np.str_('Exceptional value'), np.str_('Intuitive design'), np.str_('Premium-grade materials')]",1.0,True
Clothing,23.31,BFKP89F6D0,TrendyThreads Luxurious Clothing Item,Premium clothing product with exceptional quality. 4-way stretch comfort. Rapid-dry technology.,TrendyThreads,"[np.str_('4-way stretch comfort'), np.str_('Rapid-dry technology'), np.str_('Advanced moisture-wicking fabric'), np.str_('Permanent wrinkle-free technology')]",1.0,True
Food & Beverage,45.21,B6ESQLA1MX,TrustMark Award-Winning Food & Beverage Item,Premium food & beverage product with exceptional quality. Premium-grade materials. Exceptional value.,TrustMark,"[np.str_('Premium-grade materials'), np.str_('Exceptional value'), np.str_('Intuitive design'), np.str_('Enhanced durability')]",1.0,True
Books,14.72,BN00NJA78I,PrimePick Professional-Grade Books Item,Premium books product with exceptional quality. Enhanced durability. Premium-grade materials.,PrimePick,"[np.str_('Enhanced durability'), np.str_('Premium-grade materials'), np.str_('Extended lifespan'), np.str_('Intuitive design')]",1.0,True
Electronics,1255.11,BE6F0GNVZ5,SmartLife Premium Electronics Item,Premium electronics product with exceptional quality. Crystal-clear OLED display. Advanced Bluetooth 5.0.,SmartLife,"[np.str_('Crystal-clear OLED display'), np.str_('Advanced Bluetooth 5.0'), np.str_('Intelligent voice assistant'), np.str_('Industry-leading battery life')]",1.0,True
Electronics,499.97,BH91L8RSPF,DigiMax Cutting-Edge Electronics Item,Premium electronics product with exceptional quality. Advanced Bluetooth 5.0. Intelligent voice assistant.,DigiMax,"[np.str_('Advanced Bluetooth 5.0'), np.str_('Intelligent voice assistant'), np.str_('Lightning-fast charging'), np.str_('Crystal-clear OLED display')]",1.0,True
Health & Beauty,24.54,BAKEAY8EKS,PrimePick Award-Winning Health & Beauty Item,Premium health & beauty product with exceptional quality. Intuitive design. Exceptional value.,PrimePick,"[np.str_('Intuitive design'), np.str_('Exceptional value'), np.str_('Enhanced durability'), np.str_('Extended lifespan')]",1.0,True
Health & Beauty,49.84,BYPH52AZD0,ValueBrand Best-in-Class Health & Beauty Item,Premium health & beauty product with exceptional quality. Enhanced durability. Intuitive design.,ValueBrand,"[np.str_('Enhanced durability'), np.str_('Intuitive design'), np.str_('Premium-grade materials'), np.str_('Extended lifespan')]",1.0,True
Food & Beverage,10.57,BEU7CO9KER,TrustMark Premium Food & Beverage Item,Premium food & beverage product with exceptional quality. Premium-grade materials. Enhanced durability.,TrustMark,"[np.str_('Premium-grade materials'), np.str_('Enhanced durability'), np.str_('Extended lifespan'), np.str_('Intuitive design')]",1.0,True
Sports & Outdoors,287.35,BXSK87RAVT,TrustMark Industry-Leading Sports & Outdoors Item,Premium sports & outdoors product with exceptional quality. Exceptional value. Intuitive design.,TrustMark,"[np.str_('Exceptional value'), np.str_('Intuitive design'), np.str_('Premium-grade materials'), np.str_('Enhanced durability')]",1.0,True
Clothing,34.59,BW0F0PA8FV,StyleFit Eco-Conscious Clothing Item,Premium clothing product with exceptional quality. Advanced moisture-wicking fabric. 4-way stretch comfort.,StyleFit,"[np.str_('Advanced moisture-wicking fabric'), np.str_('4-way stretch comfort'), np.str_('Permanent wrinkle-free technology'), np.str_('Easy-care machine washable')]",1.0,True
Clothing,163.81,B7PQW24AXD,TrendyThreads Luxurious Clothing Item,Premium clothing product with exceptional quality. Easy-care machine washable. Permanent wrinkle-free technology.,TrendyThreads,"[np.str_('Easy-care machine washable'), np.str_('Permanent wrinkle-free technology'), np.str_('Rapid-dry technology'), np.str_('4-way stretch comfort')]",1.0,True
Home & Garden,402.47,B3QIMT1V75,ValueBrand Best-in-Class Home & Garden Item,Premium home & garden product with exceptional quality. Enhanced durability. Exceptional value.,ValueBrand,"[np.str_('Enhanced durability'), np.str_('Exceptional value'), np.str_('Extended lifespan'), np.str_('Premium-grade materials')]",1.0,True
Food & Beverage,23.57,BVEN7PEX85,BestChoice Award-Winning Food & Beverage Item,Premium food & beverage product with exceptional quality. Enhanced durability. Exceptional value.,BestChoice,"[np.str_('Enhanced durability'), np.str_('Exceptional value'), np.str_('Intuitive design'), np.str_('Extended lifespan')]",1.0,True
Home & Garden,138.96,BQJI90438D,BestChoice Industry-Leading Home & Garden Item,Premium home & garden product with exceptional quality. Premium-grade materials. Exceptional value.,BestChoice,"[np.str_('Premium-grade materials'), np.str_('Exceptional value'), np.str_('Extended lifespan'), np.str_('Intuitive design')]",1.0,True
Health & Beauty,50.8,BCMFG3LL7F,ValueBrand Industry-Leading Health & Beauty Item,Premium health & beauty product with exceptional quality. Exceptional value. Extended lifespan.,ValueBrand,"[np.str_('Exceptional value'), np.str_('Extended lifespan'), np.str_('Intuitive design'), np.str_('Premium-grade materials')]",1.0,True
Health & Beauty,19.92,B7FKUFQETA,ValueBrand Best-in-Class Health & Beauty Item,Premium health & beauty product with exceptional quality. Exceptional value. Intuitive design.,ValueBrand,"[np.str_('Exceptional value'), np.str_('Intuitive design'), np.str_('Premium-grade materials'), np.str_('Extended lifespan')]",1.0,True
Toys & Games,25.72,BB3BPVSY2O,ValueBrand Industry-Leading Toys & Games Item,Premium toys & games product with exceptional quality. Extended lifespan. Enhanced durability.,ValueBrand,"[np.str_('Extended lifespan'), np.str_('Enhanced durability'), np.str_('Premium-grade materials'), np.str_('Exceptional value')]",1.0,True
Food & Beverage,27.7,BL0524TBRG,QualityFirst Award-Winning Food & Beverage Item,Premium food & beverage product with exceptional quality. Extended lifespan. Enhanced durability.,QualityFirst,"[np.str_('Extended lifespan'), np.str_('Enhanced durability'), np.str_('Exceptional value'), np.str_('Intuitive design')]",1.0,True
Health & Beauty,25.96,BIXU8OKBAN,ValueBrand Professional-Grade Health & Beauty Item,Premium health & beauty product with exceptional quality. Intuitive design. Enhanced durability.,ValueBrand,"[np.str_('Intuitive design'), np.str_('Enhanced durability'), np.str_('Exceptional value'), np.str_('Premium-grade materials')]",1.0,True
Health & Beauty,15.32,BSD4DBO7YD,ValueBrand Award-Winning Health & Beauty Item,Premium health & beauty product with exceptional quality. Intuitive design. Extended lifespan.,ValueBrand,"[np.str_('Intuitive design'), np.str_('Extended lifespan'), np.str_('Exceptional value'), np.str_('Premium-grade materials')]",1.0,True
Food & Beverage,45.62,B4I9L2U2WX,BestChoice Best-in-Class Food & Beverage Item,Premium food & beverage product with exceptional quality. Intuitive design. Exceptional value.,BestChoice,"[np.str_('Intuitive design'), np.str_('Exceptional value'), np.str_('Premium-grade materials'), np.str_('Enhanced durability')]",1.0,True
