category,price,product_identifier,title,description,brand,features,quality_score
Electronics,686.37,B1P4DZHDS9,NexGen Advanced Electronics Item,Quality electronics product for everyday use. Voice control. LCD display.,NexGen,"[np.str_('Voice control'), np.str_('LCD display'), np.str_('Bluetooth connectivity'), np.str_('Long battery life')]",0.797
Toys & Games,80.75,B1SE4QSNG7,PrimePick Quality Toys & Games Item,Quality toys & games product for everyday use. Easy to use. Durable construction.,PrimePick,"[np.str_('Easy to use'), np.str_('Durable construction'), np.str_('High quality materials'), np.str_('Great value')]",0.844
Food & Beverage,42.02,BXTPQIDT5C,BestChoice Premium Food & Beverage Item,Quality food & beverage product for everyday use. Long lasting. Great value.,BestChoice,"[np.str_('Long lasting'), np.str_('Great value'), np.str_('Easy to use'), np.str_('High quality materials')]",0.85
Food & Beverage,33.42,B3F1ZMC8Q6,PrimePick Professional Food & Beverage Item,Quality food & beverage product for everyday use. Easy to use. High quality materials.,PrimePick,"[np.str_('Easy to use'), np.str_('High quality materials'), np.str_('Durable construction'), np.str_('Great value')]",0.909
Toys & Games,27.52,B2NQRBTF0Y,QualityFirst Essential Toys & Games Item,Quality toys & games product for everyday use. High quality materials. Durable construction.,QualityFirst,"[np.str_('High quality materials'), np.str_('Durable construction'), np.str_('Easy to use'), np.str_('Long lasting')]",0.912
Health & Beauty,77.66,B0OL6NCQ2G,TrustMark Professional Health & Beauty Item,Quality health & beauty product for everyday use. High quality materials. Long lasting.,TrustMark,"[np.str_('High quality materials'), np.str_('Long lasting'), np.str_('Durable construction'), np.str_('Great value')]",0.912
Books,33.79,BELIUY7PF3,PrimePick Premium Books Item,Quality books product for everyday use. Easy to use. High quality materials.,PrimePick,"[np.str_('Easy to use'), np.str_('High quality materials'), np.str_('Great value'), np.str_('Long lasting')]",0.784
Toys & Games,38.11,BZ13P24N6K,TrustMark Classic Toys & Games Item,Quality toys & games product for everyday use. Durable construction. Great value.,TrustMark,"[np.str_('Durable construction'), np.str_('Great value'), np.str_('Long lasting'), np.str_('Easy to use')]",0.844
Clothing,40.85,BY3H2A222X,TrendyThreads Lightweight Clothing Item,Quality clothing product for everyday use. Wrinkle resistant. Quick dry.,TrendyThreads,"[np.str_('Wrinkle resistant'), np.str_('Quick dry'), np.str_('Machine washable'), np.str_('Stretch fit')]",0.836
Books,49.04,BZUQSUBFIE,ValueBrand Premium Books Item,Quality books product for everyday use. Durable construction. Easy to use.,ValueBrand,"[np.str_('Durable construction'), np.str_('Easy to use'), np.str_('High quality materials'), np.str_('Great value')]",0.783
Books,33.55,BY4UC1UWUT,PrimePick Premium Books Item,Quality books product for everyday use. Great value. High quality materials.,PrimePick,"[np.str_('Great value'), np.str_('High quality materials'), np.str_('Durable construction'), np.str_('Long lasting')]",0.784
Electronics,490.73,BUVBMP9HJO,SmartLife Advanced Electronics Item,Quality electronics product for everyday use. Voice control. LCD display.,SmartLife,"[np.str_('Voice control'), np.str_('LCD display'), np.str_('Long battery life'), np.str_('Fast charging')]",0.816
Health & Beauty,24.84,B43C4K7KPX,ValueBrand Classic Health & Beauty Item,Quality health & beauty product for everyday use. Durable construction. High quality materials.,ValueBrand,"[np.str_('Durable construction'), np.str_('High quality materials'), np.str_('Long lasting'), np.str_('Easy to use')]",0.916
Clothing,160.02,BU9XOOP3LG,UrbanWear Lightweight Clothing Item,Quality clothing product for everyday use. Breathable fabric. Machine washable.,UrbanWear,"[np.str_('Breathable fabric'), np.str_('Machine washable'), np.str_('Wrinkle resistant'), np.str_('Stretch fit')]",0.836
Home & Garden,63.22,BA10ZQZF6S,PrimePick Classic Home & Garden Item,Quality home & garden product for everyday use. Great value. Durable construction.,PrimePick,"[np.str_('Great value'), np.str_('Durable construction'), np.str_('High quality materials'), np.str_('Easy to use')]",0.853
Health & Beauty,58.14,BFRQFNIKYW,BestChoice Quality Health & Beauty Item,Quality health & beauty product for everyday use. Long lasting. Great value.,BestChoice,"[np.str_('Long lasting'), np.str_('Great value'), np.str_('Easy to use'), np.str_('Durable construction')]",0.85
Sports & Outdoors,39.98,BNMEM8N6RZ,ValueBrand Essential Sports & Outdoors Item,Quality sports & outdoors product for everyday use. Great value. Durable construction.,ValueBrand,"[np.str_('Great value'), np.str_('Durable construction'), np.str_('Long lasting'), np.str_('Easy to use')]",0.909
Books,58.46,BJJ2JZ2Q0J,PrimePick Professional Books Item,Quality books product for everyday use. Easy to use. Great value.,PrimePick,"[np.str_('Easy to use'), np.str_('Great value'), np.str_('Long lasting'), np.str_('Durable construction')]",0.775
Electronics,1358.77,BDEQZHZL3U,NexGen Ultra Electronics Item,Quality electronics product for everyday use. Voice control. LCD display.,NexGen,"[np.str_('Voice control'), np.str_('LCD display'), np.str_('Long battery life'), np.str_('Bluetooth connectivity')]",0.779
Sports & Outdoors,259.14,BGA1RZXPLW,QualityFirst Professional Sports & Outdoors Item,Quality sports & outdoors product for everyday use. Long lasting. Durable construction.,QualityFirst,"[np.str_('Long lasting'), np.str_('Durable construction'), np.str_('Easy to use'), np.str_('High quality materials')]",0.943
Clothing,135.22,BVWD1O2BGR,ClassicWear Casual Clothing Item,Quality clothing product for everyday use. Breathable fabric. Machine washable.,ClassicWear,"[np.str_('Breathable fabric'), np.str_('Machine washable'), np.str_('Wrinkle resistant'), np.str_('Stretch fit')]",0.819
Clothing,41.74,BLYDGV2GK7,UrbanWear Lightweight Clothing Item,Quality clothing product for everyday use. Wrinkle resistant. Stretch fit.,UrbanWear,"[np.str_('Wrinkle resistant'), np.str_('Stretch fit'), np.str_('Machine washable'), np.str_('Breathable fabric')]",0.819
Health & Beauty,32.97,BUWVKAF8PR,PrimePick Classic Health & Beauty Item,Quality health & beauty product for everyday use. High quality materials. Great value.,PrimePick,"[np.str_('High quality materials'), np.str_('Great value'), np.str_('Durable construction'), np.str_('Long lasting')]",0.879
Books,14.14,B2JRYRP7FU,BestChoice Professional Books Item,Quality books product for everyday use. Easy to use. Long lasting.,BestChoice,"[np.str_('Easy to use'), np.str_('Long lasting'), np.str_('Great value'), np.str_('High quality materials')]",0.785
Sports & Outdoors,91.09,BR8LTS4PKA,PrimePick Classic Sports & Outdoors Item,Quality sports & outdoors product for everyday use. Great value. Easy to use.,PrimePick,"[np.str_('Great value'), np.str_('Easy to use'), np.str_('Long lasting'), np.str_('Durable construction')]",0.86
Home & Garden,450.16,B3TFKTLDXY,TrustMark Quality Home & Garden Item,Quality home & garden product for everyday use. Durable construction. Easy to use.,TrustMark,"[np.str_('Durable construction'), np.str_('Easy to use'), np.str_('Long lasting'), np.str_('High quality materials')]",0.853
Electronics,1006.16,BK0071LDW6,TechPro Smart Electronics Item,Quality electronics product for everyday use. Long battery life. Fast charging.,TechPro,"[np.str_('Long battery life'), np.str_('Fast charging'), np.str_('Bluetooth connectivity'), np.str_('Voice control')]",0.806
Health & Beauty,10.69,BIFTTNL3Q3,BestChoice Premium Health & Beauty Item,Quality health & beauty product for everyday use. Easy to use. High quality materials.,BestChoice,"[np.str_('Easy to use'), np.str_('High quality materials'), np.str_('Great value'), np.str_('Long lasting')]",0.885
Health & Beauty,76.61,BLWKWS6J97,ValueBrand Professional Health & Beauty Item,Quality health & beauty product for everyday use. Durable construction. Great value.,ValueBrand,"[np.str_('Durable construction'), np.str_('Great value'), np.str_('Long lasting'), np.str_('Easy to use')]",0.908
Clothing,23.31,BFKP89F6D0,TrendyThreads Casual Clothing Item,Quality clothing product for everyday use. Stretch fit. Quick dry.,TrendyThreads,"[np.str_('Stretch fit'), np.str_('Quick dry'), np.str_('Breathable fabric'), np.str_('Machine washable')]",0.785
Food & Beverage,45.21,B6ESQLA1MX,TrustMark Professional Food & Beverage Item,Quality food & beverage product for everyday use. Easy to use. Durable construction.,TrustMark,"[np.str_('Easy to use'), np.str_('Durable construction'), np.str_('Great value'), np.str_('High quality materials')]",0.902
Books,14.72,BN00NJA78I,PrimePick Professional Books Item,Quality books product for everyday use. High quality materials. Great value.,PrimePick,"[np.str_('High quality materials'), np.str_('Great value'), np.str_('Long lasting'), np.str_('Easy to use')]",0.814
Electronics,1255.11,BE6F0GNVZ5,SmartLife Advanced Electronics Item,Quality electronics product for everyday use. LCD display. Fast charging.,SmartLife,"[np.str_('LCD display'), np.str_('Fast charging'), np.str_('Long battery life'), np.str_('Bluetooth connectivity')]",0.816
Electronics,499.97,BH91L8RSPF,DigiMax Smart Electronics Item,Quality electronics product for everyday use. Fast charging. LCD display.,DigiMax,"[np.str_('Fast charging'), np.str_('LCD display'), np.str_('Bluetooth connectivity'), np.str_('Long battery life')]",0.785
Health & Beauty,24.54,BAKEAY8EKS,PrimePick Classic Health & Beauty Item,Quality health & beauty product for everyday use. High quality materials. Great value.,PrimePick,"[np.str_('High quality materials'), np.str_('Great value'), np.str_('Easy to use'), np.str_('Long lasting')]",0.879
Health & Beauty,49.84,BYPH52AZD0,ValueBrand Premium Health & Beauty Item,Quality health & beauty product for everyday use. Durable construction. Great value.,ValueBrand,"[np.str_('Durable construction'), np.str_('Great value'), np.str_('High quality materials'), np.str_('Long lasting')]",0.878
Food & Beverage,10.57,BEU7CO9KER,TrustMark Essential Food & Beverage Item,Quality food & beverage product for everyday use. High quality materials. Durable construction.,TrustMark,"[np.str_('High quality materials'), np.str_('Durable construction'), np.str_('Great value'), np.str_('Easy to use')]",0.922
Sports & Outdoors,287.35,BXSK87RAVT,TrustMark Quality Sports & Outdoors Item,Quality sports & outdoors product for everyday use. Great value. Durable construction.,TrustMark,"[np.str_('Great value'), np.str_('Durable construction'), np.str_('High quality materials'), np.str_('Long lasting')]",0.891
Clothing,34.59,BW0F0PA8FV,StyleFit Stylish Clothing Item,Quality clothing product for everyday use. Wrinkle resistant. Quick dry.,StyleFit,"[np.str_('Wrinkle resistant'), np.str_('Quick dry'), np.str_('Machine washable'), np.str_('Breathable fabric')]",0.782
Clothing,163.81,B7PQW24AXD,TrendyThreads Lightweight Clothing Item,Quality clothing product for everyday use. Quick dry. Machine washable.,TrendyThreads,"[np.str_('Quick dry'), np.str_('Machine washable'), np.str_('Breathable fabric'), np.str_('Wrinkle resistant')]",0.832
Home & Garden,402.47,B3QIMT1V75,ValueBrand Premium Home & Garden Item,Quality home & garden product for everyday use. Easy to use. Great value.,ValueBrand,"[np.str_('Easy to use'), np.str_('Great value'), np.str_('Long lasting'), np.str_('High quality materials')]",0.828
Food & Beverage,23.57,BVEN7PEX85,BestChoice Quality Food & Beverage Item,Quality food & beverage product for everyday use. Long lasting. Durable construction.,BestChoice,"[np.str_('Long lasting'), np.str_('Durable construction'), np.str_('Great value'), np.str_('High quality materials')]",0.882
Home & Garden,138.96,BQJI90438D,BestChoice Professional Home & Garden Item,Quality home & garden product for everyday use. Durable construction. High quality materials.,BestChoice,"[np.str_('Durable construction'), np.str_('High quality materials'), np.str_('Easy to use'), np.str_('Long lasting')]",0.928
Health & Beauty,50.8,BCMFG3LL7F,ValueBrand Essential Health & Beauty Item,Quality health & beauty product for everyday use. Durable construction. High quality materials.,ValueBrand,"[np.str_('Durable construction'), np.str_('High quality materials'), np.str_('Easy to use'), np.str_('Great value')]",0.928
Health & Beauty,19.92,B7FKUFQETA,ValueBrand Professional Health & Beauty Item,Quality health & beauty product for everyday use. High quality materials. Long lasting.,ValueBrand,"[np.str_('High quality materials'), np.str_('Long lasting'), np.str_('Great value'), np.str_('Durable construction')]",0.918
Toys & Games,25.72,BB3BPVSY2O,ValueBrand Essential Toys & Games Item,Quality toys & games product for everyday use. Great value. High quality materials.,ValueBrand,"[np.str_('Great value'), np.str_('High quality materials'), np.str_('Long lasting'), np.str_('Easy to use')]",0.868
Food & Beverage,27.7,BL0524TBRG,QualityFirst Premium Food & Beverage Item,Quality food & beverage product for everyday use. Durable construction. Easy to use.,QualityFirst,"[np.str_('Durable construction'), np.str_('Easy to use'), np.str_('Great value'), np.str_('High quality materials')]",0.89
Health & Beauty,25.96,BIXU8OKBAN,ValueBrand Classic Health & Beauty Item,Quality health & beauty product for everyday use. Long lasting. Great value.,ValueBrand,"[np.str_('Long lasting'), np.str_('Great value'), np.str_('Easy to use'), np.str_('High quality materials')]",0.85
Health & Beauty,15.32,BSD4DBO7YD,ValueBrand Premium Health & Beauty Item,Quality health & beauty product for everyday use. Easy to use. Great value.,ValueBrand,"[np.str_('Easy to use'), np.str_('Great value'), np.str_('Durable construction'), np.str_('Long lasting')]",0.846
Food & Beverage,45.62,B4I9L2U2WX,BestChoice Professional Food & Beverage Item,Quality food & beverage product for everyday use. Durable construction. Great value.,BestChoice,"[np.str_('Durable construction'), np.str_('Great value'), np.str_('Easy to use'), np.str_('High quality materials')]",0.908
